id_training;training_requirement;training_group;training_type;modality;area;supplier;cost_estimate;date;total_hours;cost_executed
147;Administración operativa de depósitos;DESARROLLO;TECNICA;Curso abierto;LOGISTICA UN 1;Capacitarte UBA; $3.000 ;01/04/2015;60;3000
15;CEP ;DESARROLLO;TECNICA;In company;LINEA 5;INTERNO; $1.953 ;01/04/2015;24;1953
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/04/2015;45;750
67;Excel I;DESARROLLO;TECNICA;In company;LOGISTICA UN 1;EXO S.A; $1.000 ;01/04/2015;12;1000
21;Excel I;DESARROLLO;TECNICA;In company;MATRICERIA;EXO S.A; $1.000 ;01/04/2015;12;1000
14;Excel I;DESARROLLO;TECNICA;In company;LINEA 5;EXO S.A; $2.000 ;01/04/2015;12;1000
133;Excel II;DESARROLLO;TECNICA;In company;LOGISTICA UN 1;EXO S.A; $10.000 ;01/04/2015;48;4000
85;Excel II;DESARROLLO;TECNICA;In company;COMERCIAL UN 2;EXO S.A; $2.000 ;01/04/2015;12;1000
96;FIM I  DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $30.000 ;01/04/2015;88;6000
97;FIM II DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $48.000 ;01/04/2015;72;6000
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/04/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/04/2015;40;2222
22;Instalaciones eléctricas industriales/Int. a la Eelctrotecnia Industrial;DESARROLLO;TECNICA;Curso abierto;LINEA 3;UTN; $3.000 ;01/04/2015;15;750
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/04/2015;20;222
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/04/2015;50;11094
61;MS Project;DESARROLLO;TECNICA;In company;COMERCIAL UN 1;Competitive PM; $36.000 ;01/04/2015;16;2769
100;Negociación (Univ. Torcuato Di Tella);DESARROLLO;DESARROLLO;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $5.695 ;01/04/2015;15;3164
95;Portugues Nivel I;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $15.000 ;01/04/2015;10;1667
140;8D;COMPLIANCE;CALIDAD;In company;LOGISTICA UN 1;SETEC; $1.250 ;01/05/2015;8;1250
82;8D;COMPLIANCE;CALIDAD;In company;CALIDAD;SETEC; $1.250 ;01/05/2015;32;1250
33;8D;COMPLIANCE;CALIDAD;In company;LINEA 2;SETEC; $1.250 ;01/05/2015;8;1250
7;8D;COMPLIANCE;CALIDAD;In company;LINEA 5;SETEC; $1.250 ;01/05/2015;32;1250
2;Convertidores de Frecuencia;DESARROLLO;TECNICA;Curso abierto;LINEA 5;SEW Eurodrive; $4.050 ;01/05/2015;8;1350
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/05/2015;45;750
96;FIM I  DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $30.000 ;01/05/2015;88;6000
97;FIM II DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $48.000 ;01/05/2015;72;6000
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/05/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/05/2015;40;2222
22;Instalaciones eléctricas industriales/Int. a la Eelctrotecnia Industrial;DESARROLLO;TECNICA;Curso abierto;LINEA 3;UTN; $3.000 ;01/05/2015;15;750
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/05/2015;20;222
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/05/2015;50;11094
100;Negociación (Univ. Torcuato Di Tella);DESARROLLO;DESARROLLO;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $5.695 ;01/05/2015;12;2531
95;Portugues Nivel I;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $15.000 ;01/05/2015;10;1667
37;Selec. Dimens. y Mant. de motores asincrónicos de BT ;DESARROLLO;TECNICA;Curso abierto;LINEA 2;Schneider; $780 ;01/05/2015;8;390
29;Comunicación Eficaz;DESARROLLO;DESARROLLO;In company;LINEA 3;E&Y; $2.125 ;01/06/2015;8;2125
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/06/2015;45;750
96;FIM I  DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $30.000 ;01/06/2015;88;6000
97;FIM II DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $48.000 ;01/06/2015;72;6000
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/06/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/06/2015;40;2222
22;Instalaciones eléctricas industriales/Int. a la Eelctrotecnia Industrial;DESARROLLO;TECNICA;Curso abierto;LINEA 3;UTN; $3.000 ;01/06/2015;15;750
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/06/2015;20;222
